seed,best_iter,MAE,RMSE,R2
42,53,19.62544527856172,25.809947807095746,0.8187639013109013
123,131,19.531133497890554,31.381734142366753,0.8036886857892134
999,195,21.74438361197691,32.28226477904141,0.7986558196550702
2026,116,20.64135258331627,29.100272990052826,0.81682631710485
777,64,22.071831194853573,32.35324649309092,0.7853359104748776
